"","year","population","pop_no","stat_area","CU","escapement","er_E","er_2","er_3","total_runE","total_run2","total_run3","age_3","age_4","age_5","rec_E","rec_2","rec_3","RS_E","RS_2","RS_3","logRS1","logRS2","logRS3","Ut","Model","group","region","Smsy","Sgen","Umsy","U_relative"
"55",1981,"babine_fence",40,4,"middle_skeena",2486,0.67,NA,NA,7533,NA,NA,0.752,0.246,0.002,10845,NA,NA,4.362267191,NA,NA,1.47299192014465,NA,NA,0.67,"Time-varying",3,"Skeena",12160.4212735598,2421.86522950516,0.661243166778909,1.01324298482168
"56",1981,"bear",44,4,"upper_skeena",NA,0.67,NA,NA,NA,NA,NA,0.615,0.38,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,"Time-varying",3,"Skeena",1172.94041505647,225.920851928502,0.667341514099908,1.00398369626934
"57",1981,"bella_coola",30,8,"bella_coola_dean",10000,0.414,0.439,0.434,17065,17836,17663,0.945945946,0.054054054,0,78070,80567,79679,7.80702631,8.056737129,7.967942157,2.05502413718499,2.08650865185099,2.0754262608433,0.439,"Time-varying",6,"Central Coast (South)",23676.6898533336,5019.16812979128,0.643007463092257,0.682729245301175
"58",1981,"belowe_ck",1,5,"hecate_strait_mainland",300,0.368,0.392,0.434,475,494,530,0.854411765,0.141176471,0.004411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,"Time-varying",4,"Hecate Lowlands",140.663851040961,36.5895215549531,0.586954114380209,0.667854591008243
"59",1981,"brim",4,6,"brim_wahoo",600,0.508,0.532,0.434,1220,1283,1060,0.713592233,0.286407767,0,1457,1505,1210,2.427978336,2.508855987,2.016377785,0.887058950587429,0.919826867171759,0.701302726006356,0.532,"Time-varying",5,"Inner Waters",644.285272318989,168.12862480882,0.593720340609533,0.896044759817107
"60",1981,"cascade",29,8,"northern_coastal",NA,0.405,0.439,0.434,NA,NA,NA,0.714,0.286,0,305,319,316,NA,NA,NA,NA,NA,NA,0.439,"Time-varying",6,"Central Coast (South)",125.776641658135,34.6580852950259,0.565690592853915,0.776042602697776
"61",1981,"chuckwalla",32,9,"rivers_inlet",450,0.315,0.346,0.434,657,688,795,0.794,0.206,0,3131,3239,3800,6.95723328,7.198567832,8.444364064,1.93978187807403,1.97388209401413,2.13349924416797,0.346,"Time-varying",6,"Central Coast (South)",3298.69468344445,856.216992505146,0.594954077234666,0.58155749029942
"62",1981,"dala",9,6,"northern_coastal",2000,0.405,0.439,0.434,3361,3567,3533,0.714,0.286,0,4620,4830,4776,2.310189863,2.415122956,2.388216754,0.837329712931035,0.881750199266047,0.87054695941789,0.439,"Time-varying",5,"Inner Waters",1697.1040858187,400.248104901092,0.620921639856714,0.707013529277712
"63",1981,"damshilgwit",43,4,"upper_skeena",NA,0.67,NA,NA,NA,NA,NA,0.615,0.38,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,"Time-varying",3,"Skeena",1758.67671511569,339.752941846187,0.666888311314742,1.00466598174306
"64",1981,"deena",50,2,"haida_gwaii_east",6000,0.28,NA,NA,8333,NA,NA,0.854,0.141,0.004,3643,NA,NA,0.607089477,NA,NA,-0.499079090219492,NA,NA,0.28,"Time-varying",1,"Haida Gwaii",1785.3138214799,711.724818726431,0.460834010744218,0.607594043564228
"65",1981,"diskangieg",47,3,"lower_nass",500,0.614,NA,NA,1295,NA,NA,0.571,0.426,0.003,1384,NA,NA,2.768645931,NA,NA,1.01835836710716,NA,NA,0.614,"Time-varying",2,"Nass",1772.25379708692,353.259238436367,0.661205901294038,0.928606352118679
"66",1981,"docee",33,10,"smith_inlet",NA,0.315,0.346,0.434,NA,NA,NA,0.775,0.225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346,"Time-varying",6,"Central Coast (South)",6051.47373891346,1686.84236382056,0.564766571648358,0.612642492260379
"67",1981,"east_arm",20,6,"hecate_strait_mainland",200,0.368,0.392,0.434,317,329,353,0.854411765,0.141176471,0.004411765,478,489,529,2.388005892,2.445665829,2.647203252,0.870458662863995,0.894317408553126,0.973503706092326,0.392,"Time-varying",4,"Hecate Lowlands",402.27095084949,116.974806927943,0.561014778056028,0.698733821875993
"68",1981,"ecstall",35,4,"lower_skeena",NA,0.67,NA,NA,NA,NA,NA,0.571,0.426,0.003,23676,NA,NA,NA,NA,NA,NA,NA,NA,0.67,"Time-varying",3,"Skeena",4395.25807151651,836.600864633075,0.667951450460569,1.00306691382737
"69",1981,"elcho",28,8,"northern_coastal",200,0.405,0.439,0.434,336,357,353,0.714,0.286,0,671,703,696,3.353836774,3.51629231,3.477500627,1.21010499614642,1.25740711345483,1.24631382511739,0.439,"Time-varying",6,"Central Coast (South)",613.448467643937,171.357520658804,0.575572071465718,0.762719426052186
"70",1981,"evelyn_ck",11,6,"northern_coastal",200,0.405,0.439,0.434,336,357,353,0.714,0.286,0,536,561,555,2.679888724,2.804895759,2.77377121,0.985775272765227,1.03136637571727,1.02020784192313,0.439,"Time-varying",5,"Inner Waters",217.224271062142,51.5507932609414,0.619608812239947,0.708511550074589
"71",1981,"exchamsiks",36,4,"lower_skeena",500,0.67,NA,NA,1515,NA,NA,0.571,0.426,0.003,1452,NA,NA,2.904559328,NA,NA,1.06628168447699,NA,NA,0.67,"Time-varying",3,"Skeena",1646.81251267833,352.058342662705,0.643222631663114,1.04163001582773
"72",1981,"exstew",37,4,"lower_skeena",700,0.67,NA,NA,2121,NA,NA,0.571,0.426,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,"Time-varying",3,"Skeena",2163.90914864474,420.240325366289,0.66454473702473,1.00820902291649
"73",1981,"foch_ck",12,6,"douglas_channel_kitimat",500,0.508,0.532,0.434,1016,1069,883,0.714,0.286,0,1275,1316,1056,2.550666052,2.631841287,2.111209778,0.936354521927118,0.967683710353081,0.747261137685452,0.532,"Time-varying",5,"Inner Waters",475.494560115759,115.349470095671,0.614764929333272,0.865371420222308
"74",1981,"green",19,6,"mussel_kynoch",200,0.405,0.439,0.434,336,357,353,0.714,0.286,0,872,912,901,4.358581036,4.557649687,4.506915535,1.47214655393173,1.51680707113445,1.50561300268533,0.439,"Time-varying",5,"Inner Waters",910.801965385466,223.267016278029,0.607269461691494,0.722908079021799
"75",1981,"hartleybay_ck",13,6,"hecate_strait_mainland",200,0.368,0.392,0.434,317,329,353,0.854411765,0.141176471,0.004411765,932,954,1033,4.661389776,4.768927302,5.165483134,1.53931363886741,1.56212139533326,1.64199863817765,0.392,"Time-varying",4,"Hecate Lowlands",1078.15119826516,274.382567654899,0.599613757286022,0.653754179647703
"76",1981,"hugh_ck",14,6,"northern_coastal",200,0.405,0.439,0.434,336,357,353,0.714,0.286,0,420,440,435,2.102341259,2.20111502,2.176717021,0.743051608944462,0.788964059243436,0.777817788043309,0.439,"Time-varying",5,"Inner Waters",401.709390776372,118.13448119097,0.555984444541996,0.789590436044727
"77",1981,"kadeen",38,4,"lower_skeena",500,0.67,NA,NA,1515,NA,NA,0.571,0.426,0.003,1395,NA,NA,2.790761546,NA,NA,1.02631451414324,NA,NA,0.67,"Time-varying",3,"Skeena",628.273151329468,129.279370999669,0.66119491042072,1.01331693490151
"78",1981,"kasiks",34,4,"lower_skeena",2000,0.67,NA,NA,6061,NA,NA,0.571,0.426,0.003,4201,NA,NA,2.100631597,NA,NA,0.742238059986202,NA,NA,0.67,"Time-varying",3,"Skeena",1385.15869574939,269.565037500626,0.666905954863348,1.0046394024736
"79",1981,"kemano",5,6,"northern_coastal",4000,0.405,0.439,0.434,6723,7134,7065,0.714,0.286,0,6623,6935,6858,1.655693138,1.733632394,1.71442182,0.504219735652223,0.550218857036821,0.539075892581071,0.439,"Time-varying",5,"Inner Waters",3695.95520939559,1125.36819509578,0.549510284105796,0.798893146675814
"80",1981,"kildala",10,6,"northern_coastal",2000,0.405,0.439,0.434,3361,3567,3533,0.714,0.286,0,3835,4012,3968,1.917491828,2.006228619,1.983939794,0.651017992450975,0.696256650643139,0.68508466263611,0.439,"Time-varying",5,"Inner Waters",1683.431643541,486.082466853265,0.567696112514137,0.773301050197113
"81",1981,"kiltush",6,6,"northern_coastal",75,0.405,0.439,0.434,126,134,132,0.714,0.286,0,584,612,605,7.783168641,8.155654533,8.065511142,2.05196353560837,2.09871149440952,2.08759708737422,0.439,"Time-varying",5,"Inner Waters",504.4565585217,89.6400525492499,0.686091123825828,0.639856696515789
"82",1981,"kiskosh_ck",15,6,"northern_coastal",150,0.405,0.439,0.434,252,268,265,0.714,0.286,0,179,187,185,1.191061655,1.246620337,1.232787204,0.17484505645561,0.220436159233551,0.209277625346279,0.439,"Time-varying",5,"Inner Waters",111.010185463681,33.1121787378356,0.552373736615295,0.794751761171703
"83",1981,"kitwanga",42,4,"middle_skeena",200,0.67,NA,NA,606,NA,NA,0.752,0.246,0.002,1919,NA,NA,9.595489313,NA,NA,2.26129312482431,NA,NA,0.67,"Time-varying",3,"Skeena",3516.39371372847,603.661214368279,0.694498867860245,0.964724394820505
"84",1981,"lachmach",48,3,"portland_observatory",300,0.614,NA,NA,777,NA,NA,0.54758,0.44965,0.00275,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,"Time-varying",2,"Nass",1057.91769229234,196.91634172562,0.676477843444774,0.907642439364129
"85",1981,"martin",27,8,"northern_coastal",1400,0.405,0.439,0.434,2353,2497,2473,0.714,0.286,0,3365,3526,3487,2.403811687,2.518466483,2.490615628,0.877055680410081,0.923650177796568,0.912529920078447,0.439,"Time-varying",6,"Central Coast (South)",2518.29469691538,771.975568274945,0.54516386576816,0.805262467976357
"86",1981,"meziadin",46,3,"upper_nass",2500,0.614,NA,NA,6477,NA,NA,0.68127,0.31776,0.00072,8509,NA,NA,3.403469309,NA,NA,1.22479529638321,NA,NA,0.614,"Time-varying",2,"Nass",2711.87083529153,486.051289646341,0.687482963104611,0.893113041270479
"87",1981,"nangeese_kspx",41,4,"middle_skeena",200,0.67,NA,NA,606,NA,NA,0.752,0.246,0.002,1050,NA,NA,5.251706757,NA,NA,1.65855312034252,NA,NA,0.67,"Time-varying",3,"Skeena",1075.6123358396,207.106104857343,0.66900929382392,1.00148085562521
